fecha;customer_name;country;city;ship_mode;categories;product;price;quantity
1/3/11;Oscar Clayton;France;Colmar;ECONOMY;office supplies and art;BIC Markers, Easy-Erase;$107;4
1/3/11;Angus De Groot;United Kingdom;Farnborough;ECONOMY;furniture and bookcases;Safco Classic Bookcase, Traditional;$1.314;3
1/3/11;Angus De Groot;United Kingdom;Farnborough;ECONOMY;furniture and chairs;Office Star Rocking Chair, Red;$705;5
1/3/11;Angus De Groot;United Kingdom;Farnborough;ECONOMY;office supplies and art;BIC Sketch Pad, Blue;$195;4
1/3/11;Angus De Groot;United Kingdom;Farnborough;ECONOMY;office supplies and art;Sanford Pens, Fluorescent;$37;3
1/3/11;Caleb Kenyon;Germany;Berlin;ECONOMY;technology and accessories;Belkin Keyboard, USB;$151;2
1/3/11;Carl Proctor;Italy;Rome;ECONOMY;office supplies and binders;Ibico Index Tab, Clear;$18;2
1/3/11;Spencer Akhtar;Germany;Berlin;ECONOMY;office supplies and appliances;Hamilton Beach Toaster, Black;$364;8
1/3/11;Spencer Akhtar;Germany;Berlin;ECONOMY;office supplies and storage;Fellowes Folders, Blue;$63;3
1/3/11;Spencer Akhtar;Germany;Berlin;ECONOMY;office supplies and storage;Smead Shelving, Single Width;$118;3
3/3/11;Lincoln Want;Italy;Rimini;ECONOMY;office supplies and fasteners;OIC Clamps, 12 Pack;$58;3
7/3/11;Niamh Mann;France;Paris;PRIORITY;office supplies and art;BIC Canvas, Easy-Erase;$108;2
8/3/11;Nicole Nash;Germany;Baden-Baden;ECONOMY;office supplies and fasteners;Advantus Clamps, Assorted Sizes;$117;7
9/3/11;Joshua Romero;Spain;Madrid;PRIORITY;office supplies and art;BIC Pencil Sharpener, Water Color;$97;3
9/3/11;Joshua Romero;Spain;Madrid;PRIORITY;office supplies and envelopes;Kraft Interoffice Envelope, Set of 50;$94;2
9/3/11;Joshua Romero;Spain;Madrid;PRIORITY;office supplies and storage;Tenex Folders, Blue;$104;5
9/3/11;Joshua Romero;Spain;Madrid;PRIORITY;technology and copiers;Sharp Ink, Color;$126;1
10/3/11;John Kemp;Germany;Pforzheim;IMMEDIATE;technology and phones;Motorola Audio Dock, with Caller ID;$520;3
10/3/11;Ryan Greenwood;United Kingdom;Sheffield;ECONOMY;furniture and chairs;Harbour Creations Chairmat, Adjustable;$74;2
10/3/11;Naomi Hancock;United Kingdom;Coventry;ECONOMY;office supplies and fasteners;OIC Thumb Tacks, Bulk Pack;$28;2
11/3/11;Thomas Stephens;Germany;Berlin;PRIORITY;office supplies and binders;Cardinal 3-Hole Punch, Clear;$229;9
11/3/11;Ashton Charles;France;Pessac;ECONOMY;office supplies and art;Binney & Smith Markers, Blue;$72;3
12/3/11;Shannon Howe;Finland;Helsinki;ECONOMY;office supplies and art;Sanford Sketch Pad, Water Color;$195;4
12/3/11;Joseph Ford;Switzerland;Basel;ECONOMY;office supplies and envelopes;Cameo Mailers, with clear poly window;$167;4
12/3/11;Joseph Ford;Switzerland;Basel;ECONOMY;office supplies and storage;Fellowes File Cart, Wire Frame;$273;2
14/3/11;Alexander Bennett;Germany;Berlin;ECONOMY;technology and accessories;Memorex Router, Erganomic;$220;1
14/3/11;Koby Phillip;Germany;Bonn;PRIORITY;office supplies and art;Sanford Pens, Water Color;$43;3
14/3/11;Koby Phillip;Germany;Bonn;PRIORITY;office supplies and supplies;Fiskars Box Cutter, Serrated;$193;6
14/3/11;Thomas McCallum;Germany;Leipzig;PLUS;office supplies and appliances;Hoover Stove, Red;$3.070;6
14/3/11;Thomas McCallum;Germany;Leipzig;PLUS;office supplies and storage;Eldon File Cart, Single Width;$230;2
14/3/11;Donna Nash;France;Tourcoing;PLUS;office supplies and labels;Harbour Creations Round Labels, Adjustable;$14;3
15/3/11;Wanda Wingert;United Kingdom;London;IMMEDIATE;furniture and chairs;Office Star Steel Folding Chair, Set of Two;$254;3
15/3/11;Wanda Wingert;United Kingdom;London;IMMEDIATE;office supplies and art;Binney & Smith Pens, Blue;$11;1
15/3/11;Wanda Wingert;United Kingdom;London;IMMEDIATE;office supplies and art;Sanford Highlighters, Easy-Erase;$29;2
15/3/11;Wanda Wingert;United Kingdom;London;IMMEDIATE;office supplies and binders;Avery Binder, Recycled;$48;4
15/3/11;Wanda Wingert;United Kingdom;London;IMMEDIATE;office supplies and fasteners;Stockwell Paper Clips, Metal;$24;2
16/3/11;Scarlett Truchanas;Italy;Bari;ECONOMY;office supplies and supplies;Fiskars Trimmer, Steel;$83;2
17/3/11;Jessica Paramor;Germany;Magdeburg;ECONOMY;office supplies and labels;Hon Round Labels, 5000 Label Set;$21;3
17/3/11;Jessica Paramor;Germany;Magdeburg;ECONOMY;office supplies and storage;Smead Folders, Industrial;$81;5
18/3/11;Charlie Brooks;France;Marseille;ECONOMY;office supplies and storage;Smead Shelving, Industrial;$178;4
18/3/11;Sam Wood;France;Noisy-le-Sec;PRIORITY;office supplies and fasteners;Stockwell Clamps, Bulk Pack;$57;3
21/3/11;Gabriel Sanders;Norway;Stavanger;ECONOMY;furniture and furnishings;Rubbermaid Door Stop, Duo Pack;$132;3
21/3/11;Gabriel Sanders;Norway;Stavanger;ECONOMY;office supplies and storage;Smead Folders, Wire Frame;$50;3
21/3/11;Charles Builder;Italy;Cagliari;PLUS;furniture and bookcases;Dania 3-Shelf Cabinet, Mobile;$288;2
21/3/11;Aaron Bootman;Italy;Marsala;PRIORITY;office supplies and labels;Harbour Creations Round Labels, Laser Printer Compatible;$47;7
21/3/11;Aaron Bootman;Italy;Marsala;PRIORITY;office supplies and supplies;Elite Box Cutter, High Speed;$105;3
21/3/11;Aaron Bootman;Italy;Marsala;PRIORITY;technology and phones;Apple Office Telephone, Cordless;$82;2
21/3/11;Kayla Tearle;Switzerland;Basel;ECONOMY;office supplies and art;Binney & Smith Pens, Fluorescent;$26;2
21/3/11;Kayla Ronald;Netherlands;Emmen;ECONOMY;technology and machines;StarTech Inkjet, White;$747;5
22/3/11;Mary Wilson;Germany;Augsburg;PLUS;office supplies and binders;Acco Binder Covers, ECONOMY;$40;3
22/3/11;Mary Wilson;Germany;Augsburg;PLUS;office supplies and paper;Xerox Cards & Envelopes, Premium;$90;2
23/3/11;Paige Horsfall;Germany;Stralsund;ECONOMY;furniture and furnishings;Rubbermaid Frame, Duo Pack;$770;7
23/3/11;Paige Horsfall;Germany;Stralsund;ECONOMY;office supplies and paper;SanDisk Cards & Envelopes, Recycled;$193;4
24/3/11;Lily Tyler;France;Carcassonne;PRIORITY;office supplies and binders;Avery Binding Machine, Durable;$453;9
24/3/11;Lily Tyler;France;Carcassonne;PRIORITY;office supplies and binders;Ibico 3-Hole Punch, ECONOMY;$152;5
24/3/11;Lily Tyler;France;Carcassonne;PRIORITY;office supplies and storage;Eldon File Cart, Single Width;$230;2
24/3/11;Lily Tyler;France;Carcassonne;PRIORITY;technology and phones;Motorola Signal Booster, Full Size;$246;2
25/3/11;Charlie Wells;United Kingdom;Sheffield;PLUS;office supplies and art;Stanley Highlighters, Blue;$15;2
25/3/11;Charlie Wells;United Kingdom;Sheffield;PLUS;office supplies and fasteners;Advantus Thumb Tacks, Metal;$7;1
25/3/11;Edward Zwar;Germany;Munich;PLUS;office supplies and fasteners;OIC Clamps, Metal;$99;5
25/3/11;Anthony Stewart;United Kingdom;Wigan;PRIORITY;office supplies and art;Stanley Canvas, Easy-Erase;$149;3
25/3/11;Sharon Kerley;Netherlands;Helmond;PLUS;office supplies and labels;Harbour Creations Legal Exhibit Labels, 5000 Label Set;$17;3
25/3/11;Sharon Kerley;Netherlands;Helmond;PLUS;technology and phones;Nokia Audio Dock, Full Size;$84;1
26/3/11;Samuel Thomas;France;Castres;PRIORITY;office supplies and storage;Tenex Lockers, Blue;$551;3
26/3/11;Benjamin Humphries;Switzerland;Zurich;ECONOMY;office supplies and binders;Ibico 3-Hole Punch, Recycled;$92;3
28/3/11;Morgan Anderson;Italy;Foligno;ECONOMY;office supplies and fasteners;Stockwell Clamps, 12 Pack;$93;5
28/3/11;Luca Graham;Germany;Dresden;ECONOMY;office supplies and fasteners;Stockwell Push Pins, Metal;$22;3
28/3/11;Luca Graham;Germany;Dresden;ECONOMY;office supplies and storage;Rogers Box, Industrial;$39;4
29/3/11;Chelsea Bannister;Germany;Hamm;PRIORITY;furniture and furnishings;Tenex Door Stop, Erganomic;$170;4
29/3/11;Chelsea Bannister;Germany;Hamm;PRIORITY;office supplies and supplies;Kleencut Scissors, Serrated;$38;2
29/3/11;Chelsea Bannister;Germany;Hamm;PRIORITY;technology and phones;Samsung Smart Phone, Cordless;$639;1
29/3/11;Juanita Smalls;Germany;Hanover;ECONOMY;office supplies and labels;Novimex File Folder Labels, Alphabetical;$8;2
30/3/11;Alexis Code;Germany;Troisdorf;ECONOMY;furniture and chairs;Novimex Swivel Stool, Black;$729;5
30/3/11;Alexis Code;Germany;Troisdorf;ECONOMY;office supplies and storage;Smead Box, Industrial;$51;5
30/3/11;Alexis Code;Germany;Troisdorf;ECONOMY;technology and copiers;Canon Personal Copier, Digital;$285;2
30/3/11;Alexis Code;Germany;Troisdorf;ECONOMY;technology and phones;Motorola Speaker Phone, VoIP;$390;3
31/3/11;Toby Conway;Switzerland;Geneva;ECONOMY;furniture and furnishings;Eldon Clock, Erganomic;$110;2
31/3/11;Toby Conway;Switzerland;Geneva;ECONOMY;office supplies and art;Stanley Pens, Easy-Erase;$21;2
31/3/11;Adam Bentley;United Kingdom;Newcastle upon Tyne;ECONOMY;furniture and bookcases;Sauder Classic Bookcase, Pine;$2.624;6
31/3/11;Adam Bentley;United Kingdom;Newcastle upon Tyne;ECONOMY;office supplies and art;Sanford Pens, Easy-Erase;$34;3
31/3/11;Adam Bentley;United Kingdom;Newcastle upon Tyne;ECONOMY;office supplies and storage;Rogers Lockers, Blue;$423;2
31/3/11;Angus De Groot;Sweden;Gothenburg;ECONOMY;furniture and furnishings;Advantus Photo Frame, Durable;$40;2
1/4/11;Harry Nelson;Italy;Treviso;PRIORITY;office supplies and art;Stanley Canvas, Water Color;$158;3
